,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
69,20393411,2000,498500,apartment,2017.0,2.0,129.0,Hyper equipped,0.0,,10.0,1400.0,,,As new,61.0,Gas,Non flood zone,Yes,1190.0
70,20394756,9690,179000,house,1965.0,3.0,160.0,Semi equipped,,,,380.0,3.0,,To renovate,422.0,Gas,Non flood zone,Yes,
71,20401486,1210,159000,apartment,1954.0,1.0,50.0,Semi equipped,0.0,,,,2.0,0.0,To renovate,,Gas,Non flood zone,Yes,
72,20402375,8301,545000,apartment,2007.0,3.0,120.0,Installed,,,13.0,,2.0,,Good,78.0,Gas,Non flood zone,Yes,898.0
73,20394069,3300,184000,apartment,1972.0,2.0,81.0,1,,,22.0,,4.0,,To renovate,202.0,Gas,Non flood zone,Yes,755.0
74,20393142,9400,299000,apartment,2006.0,3.0,153.0,Installed,,,6.0,,2.0,,Good,92.0,Fuel oil,Non flood zone,Yes,1054.0
75,20400912,1850,710000,house,1990.0,4.0,184.0,Installed,,,,1000.0,4.0,,Good,116.0,,Non flood zone,Yes,2015.0
76,20402272,2100,210000,apartment,1964.0,2.0,96.0,Semi equipped,,,4.0,,4.0,,Good,101.0,Fuel oil,Non flood zone,Yes,
77,11246348,8450,119000,apartment,1936.0,1.0,44.0,Installed,,,,,,,,323.0,,,Yes,
78,20402914,2861,598000,house,1983.0,4.0,267.0,,,,,,,,Good,,Gas,Non flood zone,Yes,1279.0
79,20402911,8610,390000,house,1993.0,4.0,235.0,Installed,,,,,,,Good,217.0,Gas,Non flood zone,Yes,
80,20402910,8840,259000,house,,,177.0,,,,,,,,To renovate,426.0,,Non flood zone,Yes,
81,20402907,9400,359000,house,,5.0,223.0,Installed,0.0,,,,3.0,0.0,Good,300.0,Gas,Non flood zone,Yes,
82,20402906,9400,359000,house,,5.0,223.0,Installed,0.0,,,,3.0,0.0,Good,300.0,Gas,Non flood zone,Yes,
83,20402904,8301,745000,apartment,1995.0,3.0,108.0,1,,,5.0,,,,,104.0,,Non flood zone,Yes,
84,20402900,2300,169000,apartment,,1.0,80.0,Installed,0.0,,,,2.0,,Good,158.0,Gas,,Yes,
85,20402898,8020,345000,house,2025.0,3.0,,1,,,,,,,Good,,,Non flood zone,,
86,20402893,2870,449000,house,,3.0,223.0,,0.0,,,131.0,,,Good,,,,,
87,20402891,3110,486000,house,,3.0,160.0,,0.0,,,410.0,,,Good,,,,,
88,20402890,2870,396000,house,,3.0,128.0,,0.0,,,145.0,,,Good,,,,,
89,11264386,1310,425000,house,,3.0,127.0,Hyper equipped,,,15.0,600.0,3.0,,Just renovated,252.0,Gas,Non flood zone,Yes,1108.0
90,20402884,9280,249000,house,,3.0,120.0,1,,,12.0,,,,Good,224.0,,Non flood zone,Yes,379.0
92,20402881,3800,340000,house,1951.0,4.0,134.0,1,,,,,,,,381.0,,Non flood zone,Yes,505.0
93,20402878,2060,299000,house,1899.0,4.0,160.0,1,,,,,,,Good,279.0,Gas,Possible flood zone,Yes,567.0
94,11429371,8400,575000,apartment,2009.0,3.0,123.0,Installed,0.0,,,,,,As new,189.0,Gas,Non flood zone,Yes,
