,Property ID,Construction year,Number of rooms,Living area,kitchen,Number of facades,State of builing,Primary energy consumption,Flood zone type,Double glazing,cadastral_income,extra_features,Postal code_1030,Postal code_1040,Postal code_1060,Postal code_1500,Postal code_1501,Postal code_1600,Postal code_2000,Postal code_2100,Postal code_2140,Postal code_2300,Postal code_2530,Postal code_2610,Postal code_2650,Postal code_2845,Postal code_3000,Postal code_3200,Postal code_3300,Postal code_3350,Postal code_3360,Postal code_3700,Postal code_4100,Postal code_6900,Postal code_7730,Postal code_8000,Postal code_8200,Postal code_8300,Postal code_8400,Postal code_8430,Postal code_8434,Postal code_8450,Postal code_8500,Postal code_8620,Postal code_8790,Postal code_8930,Postal code_9000,Postal code_9050,Postal code_9090,Postal code_9200,Postal code_9400,Postal code_9500,Postal code_9600,Type of property_house,Heating type_Fuel oil,Heating type_Gas,price
12,20394234,92.0,2.0,140.0,2.826160845469282,4.0,4.0,392.0,0,1,453.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,339000
45,20393143,86.0,3.0,235.0,3.0,2.0,4.0,375.0,0,1,575.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,299999
63,20394122,1.0,4.0,213.0,5.0,2.4308392729953043,4.0,29.0,0,1,1332.2523342836207,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,625000
31,20394196,55.0,3.0,100.0,3.0,2.0,4.0,304.0,0,1,788.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168000
22,20394221,1.0,3.0,140.0,3.0,2.0,4.725430228266678,30.0,0,1,1454.1880862368284,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,715000
68,20393440,19.0,2.0,102.0,3.0,2.0,4.0,68.0,0,1,1299.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,699000
46,20394193,91.0,2.0,225.0,3.1925323250364035,3.0,2.0,289.86863219110546,0,1,821.4715394114168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,248000
25,20394214,75.0,2.0,87.0,2.0,2.0,6.0,349.0,0,1,885.1481560703204,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,295000
57,20394149,72.3709453983945,2.0,100.0,3.0,2.68477521091382,4.0,244.0,0,1,305.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,279000
5,20393411,7.0,2.0,129.0,5.0,2.3113640914685636,6.0,61.0,0,1,1190.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,498500
