,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
113,20398723,6700,325000,apartment,2012.0,2.0,89.0,Installed,,,6.0,,3.0,,Good,118.0,Gas,,Yes,1226.0
114,20401805,3300,339000,house,1952.0,3.0,161.0,1,,,,280.0,2.0,,As new,250.0,Gas,Non flood zone,Yes,652.0
115,20400673,9830,815000,house,1973.0,3.0,171.0,Installed,0.0,,26.0,1010.0,4.0,0.0,To be done up,646.0,Fuel oil,Non flood zone,Yes,1975.0
116,20401141,3190,845000,house,1918.0,4.0,464.0,Installed,,,28.0,4350.0,4.0,,Good,376.0,Gas,Non flood zone,Yes,2056.0
117,20391562,2170,155000,apartment,1968.0,1.0,73.0,Semi equipped,,,11.0,,2.0,,To be done up,187.0,Gas,Non flood zone,,793.0
118,20393939,1040,345000,apartment,1956.0,2.0,100.0,Semi equipped,0.0,,,,2.0,0.0,To be done up,314.0,Gas,Non flood zone,Yes,1321.0
119,20399186,4690,119000,house,1918.0,2.0,74.0,Not installed,0.0,,72.0,580.0,3.0,0.0,To renovate,987.0,,Non flood zone,Yes,255.0
120,20400347,9220,298000,house,1970.0,3.0,195.0,Semi equipped,,,22.0,97.0,2.0,,Good,319.0,Gas,Non flood zone,Yes,
121,20393133,9500,384000,apartment,1969.0,3.0,252.0,Installed,,,,,2.0,,Good,184.0,Gas,Non flood zone,Yes,775.0
122,20401487,2660,159900,apartment,,2.0,70.0,Installed,,,,,2.0,,Good,245.0,Gas,Non flood zone,Yes,
123,20401996,9470,195000,apartment,2017.0,1.0,64.0,Installed,,,,,,,Good,,Gas,Non flood zone,Yes,778.0
124,20401012,9940,199000,apartment,1969.0,2.0,71.0,Installed,1.0,,14.0,,1.0,0.0,Good,132.0,,Non flood zone,Yes,540.0
125,20402104,2020,299000,apartment,,1.0,64.0,,,,,93.0,,,,125.0,Gas,Non flood zone,Yes,
126,20402098,3078,490000,house,1951.0,,,,,,,,3.0,,Good,372.0,,,No,1599.0
127,20402093,3500,385000,house,1993.0,4.0,200.0,1,,,,664.0,4.0,,To be done up,222.0,Gas,Non flood zone,Yes,1170.0
128,20402091,3740,285000,apartment,2001.0,2.0,166.0,1,,,,227.0,2.0,,As new,162.0,Gas,,Yes,858.0
129,20402096,3583,595000,house,2003.0,3.0,317.0,1,,,40.0,,4.0,,As new,162.0,Gas,,Yes,1378.0
130,20402092,3945,439000,house,2022.0,3.0,153.0,1,,,25.0,,3.0,,As new,6.0,Gas,,Yes,745.0
131,20402082,1200,520000,apartment,2022.0,3.0,106.0,USA hyper equipped,,,13.0,,2.0,,As new,42.0,Gas,,Yes,
132,20402081,8400,295000,house,1977.0,3.0,173.0,1,,,,79.0,2.0,,Good,393.0,Electric,Non flood zone,Yes,1070.0
133,20402080,1800,439000,house,1949.0,3.0,170.0,Installed,,,,54.0,3.0,,Good,265.0,Gas,Non flood zone,Yes,1236.0
134,20402075,9940,335250,apartment,2021.0,2.0,,,,,1.0,,,0.0,As new,229.0,Gas,,No,
135,20402074,8930,145000,house,1930.0,4.0,,,,,,,2.0,,Good,475.0,Gas,Possible flood zone,No,456.0
136,20402073,8501,259000,house,1930.0,3.0,,,,,,,2.0,,Good,216.0,,Non flood zone,No,543.0
137,20402071,9000,290000,apartment,1964.0,2.0,86.0,,,,6.0,,,,To be done up,117.0,Gas,Non flood zone,Yes,1062.0
138,20402065,9100,219000,house,,4.0,,,,,,,,,,620.0,,,,
139,20402063,9940,490133,house,,3.0,,,,,,,,,As new,,,Non flood zone,,
140,20402062,9940,444789,house,,4.0,,,0.0,,,,,,As new,,,Non flood zone,,
141,20402060,9940,519731,house,,3.0,,,,,,,,,As new,,,Non flood zone,,
142,20402059,1000,300000,apartment,1920.0,1.0,91.0,Semi equipped,0.0,,,,2.0,,Good,130.0,Gas,,Yes,
143,20402055,8210,356895,apartment,2023.0,3.0,119.0,,,,17.0,,,,Good,,,,Yes,
144,20192340,2100,169000,apartment,1960.0,2.0,81.0,,0.0,,,,2.0,,Good,320.0,Gas,Non flood zone,Yes,
145,20402047,8400,139000,apartment,1966.0,1.0,62.0,,,,,,2.0,,Good,,,,Yes,718.0
146,20402046,8300,1295000,apartment,1997.0,2.0,76.0,Hyper equipped,,,,,4.0,,As new,282.0,Gas,Non flood zone,Yes,
